------------Training error values------------
-0.377236 0 0.0711537
-0.995067 0 0.49508
0.767651 0 0.294644
0.812964 0 0.330456
-0.546564 0 0.149366
0.996352 1 6.6535e-006
-0.895175 0 0.400669
0.876296 0 0.383947
0.985932 0 0.48603
0.834403 0 0.348114
--------
0.712585 1 0.0413037
-0.974423 0 0.47475
0.0485343 0 0.00117779
0.363354 0 0.0660129
0.999816 0 0.499816
-0.932201 0 0.4345
0.589518 0 0.173766
-0.653952 0 0.213827
-0.965125 0 0.465733
0.868331 0 0.377
--------
0.305452 0 0.0466505
-0.786474 0 0.309271
-0.352675 0 0.0621899
0.486418 0 0.118301
0.693566 1 0.046951
0.966276 0 0.466845
-0.909715 0 0.413791
-0.970934 0 0.471356
0.869173 0 0.37773
-0.349304 0 0.0610065
--------
0.788779 0 0.311086
-0.416216 1 1.00283
0.943038 0 0.44466
-0.321789 0 0.0517739
-0.444696 0 0.0988772
-0.999831 0 0.499831
0.992951 0 0.492976
0.833335 0 0.347223
-0.642615 0 0.206477
-0.834259 0 0.347994
--------
0.0215215 0 0.000231587
0.460015 0 0.105807
-0.384097 0 0.0737654
-0.0664354 0 0.00220683
0.951645 0 0.452814
-0.0856066 0 0.00366424
-0.891598 0 0.397473
0.368034 0 0.0677245
-0.999645 0 0.499645
0.505417 1 0.122306
--------
0.564402 0 0.159275
0.949873 0 0.451129
0.763862 1 0.0278805
-0.969946 0 0.470398
-0.993638 0 0.493658
0.991822 0 0.491855
0.879567 0 0.386819
-0.997439 0 0.497443
0.991684 0 0.491718
0.870714 0 0.379072
--------
-0.977597 0 0.477848
0.0215313 1 0.4787
-0.744274 0 0.276972
0.733827 0 0.269251
0.971475 0 0.471882
-0.926899 0 0.429571
-0.76356 0 0.291512
0.801949 0 0.321561
-0.999673 0 0.499673
0.73612 0 0.270936
--------
-0.0338613 0 0.000573293
-0.475241 0 0.112927
0.87061 0 0.378981
0.152876 1 0.35881
0.010067 0 5.06727e-005
0.999977 0 0.499977
-0.969087 0 0.469565
0.922536 0 0.425536
0.00563471 0 1.5875e-005
0.575881 0 0.165819
--------
-0.37849 0 0.0716275
0.994028 1 1.78313e-005
-0.278616 0 0.0388135
0.153881 0 0.0118397
0.0617244 0 0.00190495
-0.978864 0 0.479087
0.843155 0 0.355455
-0.884383 0 0.391067
-0.998788 0 0.498788
-0.195795 0 0.0191679
--------
0.764515 0 0.292242
-0.999531 0 0.499531
-0.0710841 0 0.00252647
0.309956 0 0.0480363
-0.222327 1 0.747042
-0.276852 0 0.0383234
0.0875883 0 0.00383586
0.10803 0 0.00583525
0.997265 0 0.497268
0.794278 0 0.315439
--------
-0.567861 0 0.161233
-0.943635 0 0.445224
0.689684 0 0.237832
-0.319873 1 0.871032
-0.417818 0 0.087286
0.997756 0 0.497759
-0.803472 0 0.322784
-0.928033 0 0.430622
0.95153 0 0.452705
0.998903 0 0.498904
--------
-0.0978392 0 0.00478625
-0.502853 0 0.126431
0.94541 0 0.4469
0.845393 0 0.357345
0.939508 0 0.441338
-0.99909 1 1.99818
0.996437 0 0.496444
0.759299 0 0.288268
-0.985554 0 0.485659
0.921665 0 0.424733
--------
0.93094 0 0.433324
0.934002 0 0.43618
0.994757 0 0.494771
0.664286 1 0.056352
-0.986658 0 0.486747
0.996894 0 0.496899
0.0701278 0 0.00245896
-0.962494 0 0.463197
0.932882 0 0.435135
0.713817 0 0.254767
--------
0.613484 0 0.188181
-0.999973 0 0.499973
0.651709 0 0.212362
0.956882 0 0.457811
0.99757 0 0.497573
-0.983437 0 0.483574
0.89584 1 0.00542469
0.75477 0 0.284839
-0.587751 0 0.172725
0.993226 0 0.493249
--------
-0.809395 0 0.32756
0.811662 1 0.0177356
-0.834653 0 0.348323
0.308433 0 0.0475656
0.908046 0 0.412274
-0.113118 0 0.00639779
-0.460589 0 0.106071
-0.102474 0 0.00525048
-0.992532 0 0.49256
0.708954 0 0.251308
--------
0.267571 0 0.0357972
-0.999543 0 0.499543
0.987749 0 0.487824
0.997131 0 0.497135
0.970984 0 0.471405
-0.883175 0 0.389999
0.432365 0 0.0934697
-0.595813 1 1.27331
-0.583485 0 0.170227
0.977628 0 0.477878
--------
0.702135 0 0.246497
-0.994184 0 0.494201
0.960041 1 0.000798367
-0.214165 0 0.0229332
-0.624675 0 0.19511
0.787178 0 0.309824
0.95419 0 0.455239
0.76021 0 0.28896
0.996915 0 0.49692
0.975921 0 0.476211
--------
0.679457 0 0.230831
-0.881576 0 0.388588
0.997778 0 0.49778
0.905405 0 0.409879
0.88918 0 0.39532
0.778427 0 0.302974
-0.772028 0 0.298014
0.912951 0 0.41674
0.311012 1 0.237352
-0.901241 0 0.406118
--------
-0.671697 0 0.225588
-0.947964 0 0.449317
-0.964331 0 0.464967
0.0551039 0 0.00151822
0.935402 0 0.437489
0.996662 0 0.496667
-0.963794 1 1.92824
0.985262 0 0.48537
0.900278 0 0.40525
-0.112205 0 0.00629494
--------
-0.939045 0 0.440903
-0.915946 0 0.419479
0.997896 0 0.497898
0.996182 0 0.496189
0.808914 0 0.327171
-0.997678 0 0.49768
0.693969 0 0.240796
-0.985955 0 0.486053
-0.912439 0 0.416273
0.985713 1 0.000102052
--------
0.361896 0 0.0654845
-0.99682 0 0.496825
-0.868249 0 0.376928
-0.235251 0 0.0276715
-0.78842 1 1.59922
0.270801 0 0.0366665
-0.47196 0 0.111373
-0.748547 0 0.280161
0.999643 0 0.499643
0.860167 0 0.369944
--------
0.720935 1 0.0389387
-0.869903 0 0.378365
-0.619615 0 0.191961
-0.415057 0 0.0861362
0.999936 0 0.499936
-0.922151 0 0.425181
0.585254 0 0.171261
-0.68784 0 0.236562
-0.987275 0 0.487356
0.798451 0 0.318762
--------
-0.0255523 0 0.000326461
-0.998922 0 0.498922
0.886522 0 0.392961
0.996769 0 0.496774
0.992009 0 0.49204
0.598006 0 0.178806
0.970664 0 0.471094
0.853318 0 0.364076
-0.45429 0 0.10319
0.969429 1 0.000467294
--------
0.675297 0 0.228013
0.637559 1 0.0656818
0.882119 0 0.389067
-0.734151 0 0.269489
0.00124968 0 7.80853e-007
-0.978631 0 0.478859
0.966115 0 0.466689
0.873867 0 0.381821
-0.877174 0 0.384717
-0.961503 0 0.462244
--------
-0.724271 0 0.262284
-0.741747 1 1.51684
0.960177 0 0.46097
0.667582 0 0.222833
0.968231 0 0.468736
-0.048254 0 0.00116422
-0.718793 0 0.258332
-0.991438 0 0.491474
-0.983127 0 0.483269
0.997831 0 0.497833
--------
0.837595 0 0.350783
-0.805547 0 0.324453
0.991364 1 3.72926e-005
0.0770833 0 0.00297092
0.916414 0 0.419908
0.973881 0 0.474222
-0.684635 0 0.234362
0.870886 0 0.379221
0.556391 0 0.154785
-0.528859 0 0.139846
--------
0.909483 0 0.413579
0.539166 0 0.14535
-0.735822 0 0.270717
-0.759112 0 0.288125
-0.295014 1 0.838531
0.998578 0 0.498579
-0.878731 0 0.386084
0.819356 0 0.335672
-0.773235 0 0.298946
-0.849569 0 0.360884
--------
0.254868 0 0.0324788
-0.583507 0 0.17024
0.327212 0 0.053534
-0.455263 1 1.0589
0.972126 0 0.472515
0.999939 0 0.499939
-0.954912 0 0.455929
0.802533 0 0.32203
-0.873974 0 0.381915
0.942397 0 0.444056
--------
-0.318702 0 0.0507853
-0.987041 0 0.487125
0.990325 1 4.67993e-005
0.998665 0 0.498666
0.938526 0 0.440416
-0.845396 0 0.357348
0.866338 0 0.375271
-0.925791 0 0.428544
-0.877436 0 0.384947
0.981135 0 0.481313
--------
-0.47575 0 0.113169
-0.999887 0 0.499887
0.399867 0 0.0799469
0.944601 0 0.446135
0.966309 0 0.466876
0.848024 0 0.359572
0.931799 0 0.434125
0.992506 1 2.80827e-005
-0.932129 0 0.434433
0.999759 0 0.499759
--------
-0.31326 0 0.0490659
-0.947035 0 0.448437
0.320849 0 0.0514721
0.808914 1 0.018257
0.93885 0 0.44072
0.96313 0 0.463809
0.889755 0 0.395832
0.459338 0 0.105496
-0.810018 0 0.328065
0.999618 0 0.499619
--------
0.151918 0 0.0115395
-0.900881 0 0.405794
0.973592 0 0.473941
0.367849 0 0.0676565
-0.86391 0 0.37317
0.996265 0 0.496272
0.466267 0 0.108702
0.913098 0 0.416874
0.979907 1 0.000201872
0.9146 0 0.418247
--------
-0.258768 0 0.0334803
-0.999901 0 0.499901
-0.991504 0 0.49154
0.13615 0 0.00926844
0.996503 0 0.496509
0.311774 0 0.0486014
0.553145 1 0.0998397
0.99904 0 0.499041
0.921995 0 0.425037
0.692316 0 0.239651
--------
-0.0294125 0 0.000432548
-0.998663 0 0.498664
0.987468 0 0.487547
0.99786 0 0.497862
0.968499 0 0.468995
-0.878819 0 0.386161
0.549669 0 0.151068
-0.71546 0 0.255941
-0.76858 0 0.295358
0.97379 1 0.000343493
--------
0.0965461 1 0.408114
-0.997517 0 0.49752
0.995049 0 0.495061
0.965278 0 0.46588
0.881097 0 0.388166
0.901712 0 0.406542
-0.592083 0 0.175281
0.841685 0 0.354217
0.863405 0 0.372734
0.526296 0 0.138494
--------
-0.902732 0 0.407463
0.0303115 0 0.000459392
0.992859 0 0.492884
0.991781 0 0.491815
0.943393 0 0.444995
-0.94229 1 1.88624
-0.980617 0 0.480805
-0.67009 0 0.22451
-0.912887 0 0.416682
-0.871318 0 0.379597
--------
0.553155 0 0.15299
-0.999791 0 0.499791
0.993462 0 0.493483
0.999729 0 0.499729
0.992222 0 0.492253
-0.879173 0 0.386472
0.669236 1 0.0547023
0.833135 0 0.347057
-0.827917 0 0.342724
0.923291 0 0.426233
--------
0.786178 1 0.0228599
-0.999987 0 0.499987
0.0319343 0 0.0005099
0.982508 0 0.482661
0.995579 0 0.495589
-0.629639 0 0.198223
0.955298 0 0.456297
0.991597 0 0.491632
0.817976 0 0.334543
0.926107 0 0.428837
--------
0.936233 0 0.438266
-0.907505 0 0.411782
-0.98657 0 0.48666
-0.995155 0 0.495166
-0.276879 0 0.0383309
0.0636728 0 0.00202711
0.388001 0 0.0752724
0.172408 1 0.342454
0.955562 0 0.456549
0.649769 0 0.2111
--------
0.15078 0 0.0113673
-0.999914 0 0.499914
-0.461266 0 0.106383
0.988689 0 0.488753
0.985999 0 0.486097
-0.941519 0 0.443229
0.90896 1 0.00414414
0.96753 0 0.468057
0.304988 0 0.0465088
0.941659 0 0.443361
--------
-0.916152 0 0.419667
0.999325 1 2.27602e-007
0.991339 0 0.491376
-0.0505606 0 0.00127819
-0.439006 0 0.0963631
-0.999282 0 0.499282
-0.343505 0 0.0589979
-0.998105 0 0.498107
-0.935003 0 0.437115
-0.775445 0 0.300657
--------
0.987923 0 0.487996
